job_title,job_group,min_salary,max_salary,salary_unit,city,district
Chuyên Viên Kiểm Thử (Manual Tester),IT,17000000.0,22000000.0,VND,Hà Nội,Thanh Xuân
"Junior UX/UI Designer - Thanh Xuân, Hà Nội (Thu Nhập Tới 15M)",Business,,15000000.0,VND,Hà Nội,Thanh Xuân
Junior Tester,IT,7000000.0,15000000.0,VND,Hà Nội,Cầu Giấy
System Network Fresher - Quận 7 - Hồ Chí Minh,IT,3000000.0,5000000.0,VND,Hồ Chí Minh,Quận 7
PHP Developer,IT,,,,Hồ Chí Minh,Quận 2
Kỹ Sư Quản Lý Chất Lượng CNTT (QA),IT,700.0,1500.0,USD,Hà Nội,
Business Development Intern (Thị Trường Nhật Bản),IT,,,,Hà Nội,
Business Analysis (N2 Up),Business,,,,Hồ Chí Minh,Quận 9
Project Manager (N1),Business,,,,Hồ Chí Minh,Quận 9
Project Manager (N1),Business,,,,Hà Nội,Cầu Giấy
Project Manager (N1),Business,,,,Đà Nẵng,Ngũ Hành Sơn
Project Manager (N1),Business,,,,Thừa Thiên Huế,TP Huế
Solution Architect_Salary Up To $4000,IT,,,,Hồ Chí Minh,Quận 9
Solution Architect_Salary Up To $4000,IT,,,,Hà Nội,Cầu Giấy
Solution Architect_Salary Up To $4000,IT,,,,Đà Nẵng,Ngũ Hành Sơn
Solution Architect_Salary Up To $4000,IT,,,,Thừa Thiên Huế,TP Huế
Mobile Developer (Android/IOS),IT,,,,Hồ Chí Minh,Quận 3
Developer (PHP),IT,,,,Hồ Chí Minh,Quận 3
Project Manager_Salary Up To $3000,Business,,,,Hồ Chí Minh,Quận 9
Project Manager_Salary Up To $3000,Business,,,,Hà Nội,Cầu Giấy
Project Manager_Salary Up To $3000,Business,,,,Đà Nẵng,Ngũ Hành Sơn
Project Manager_Salary Up To $3000,Business,,,,Thừa Thiên Huế,TP Huế
Bridge Software Engineer (.Net/Azure/Devops),IT,,,,Hồ Chí Minh,Quận 9
Senior Account,Business,,25000000.0,VND,Hà Nội,Đống Đa
Senior PHP,IT,,,,Hồ Chí Minh,Quận 3
Android Developer,IT,10000000.0,15000000.0,VND,Hà Nội,Cầu Giấy
Nhân Viên Thiết Kế Website - Lương Cứng 10 -17 Triệu (UI/UX),IT,12000000.0,20000000.0,VND,Hà Nội,
Senior Unity Engineer,IT,,,,Hà Nội,Cầu Giấy
"Nhân Viên Phát Triển Thị Trường B2B Hàn Quốc ( Từ 1 Năm Kinh Nghiệm, Tiếng Hàn Tốt ) Offer Upto",Business,,,,Hà Nội,Cầu Giấy
Lập Trình Viên Full Stack,IT,10000000.0,,VND,Nghệ An,TP Vinh
Devops Tại Hà Nội,IT,1700.0,,USD,Hà Nội,Đống Đa
Business Analyst (Software Detail Design Engineer),Business,,,,Hồ Chí Minh,Quận 3
Product Manager/Project Manager - Dự Án Giáo Dục.,Business,,,,Hà Nội,
Senior Software Tester,IT,20000000.0,35000000.0,VND,Hà Nội,Cầu Giấy
Python Dev,IT,13000000.0,22000000.0,VND,Hà Nội,Thanh Xuân
Nhân Viên IT,IT,10000000.0,12000000.0,VND,Hà Nội,Nam Từ Liêm
Security Engineer (Incident Response),IT,,,,Hà Nội,
Security Engineer (Pentesting),IT,,,,Hà Nội,
Python Developer (Có Nhận Fresher),IT,,25000000.0,VND,Hà Nội,Thanh Xuân
Business Analyst (Up To 1800$),Business,,1800.0,USD,Hà Nội,Nam Từ Liêm
Full Stack Developer (Nodejs/Reactjs) - Senior,IT,,2500.0,USD,Hà Nội,Cầu Giấy
Full Stack Developer (Senior),IT,,1500.0,USD,Hà Nội,Cầu Giấy
Nhân Viên Kỹ Thuật Mạng,Business,9000000.0,15000000.0,VND,Hồ Chí Minh,Gò Vấp
Thực Tập Sinh Kỹ Thuật Mạng,Business,,,,Hồ Chí Minh,Gò Vấp
IT Helpdesk Hỗ Trợ Kỹ Thuật Tại Hồ Chí Minh,IT,8000000.0,10000000.0,VND,Hồ Chí Minh,Phú Nhuận
Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),Business,30000000.0,60000000.0,VND,Nước ngoài,
Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),Business,30000000.0,60000000.0,VND,Nam Từ Liêm,
Senior Front-End Developer,IT,,35000000.0,VND,Hà Nội,Cầu Giấy
React Native Developer Spoken English (Upto 40M),IT,,40000000.0,VND,Hà Nội,Hồ Chí Minh
React Native Developer Spoken English (Upto 40M),IT,,40000000.0,VND,Đà Nẵng,Thừa Thiên Huế
Python Developer Spoken English (Upto 40M),IT,,40000000.0,VND,Hà Nội,Hồ Chí Minh
Python Developer Spoken English (Upto 40M),IT,,40000000.0,VND,Thừa Thiên Huế,Đà Nẵng
.Net Senior Developer,IT,20000000.0,,VND,Hà Nội,
Chuyên Viên IT ERP/ Helpdesk,IT,9000000.0,11000000.0,VND,Hà Nội,Đống Đa
UI/UX Designer,Business,,,,Hà Nội,Thanh Xuân
Business Development,Business,,,,Hà Nội,Thanh Xuân
24/7 .Net Developer,IT,,,,Hà Nội,Đống Đa
IT Business Analyst (Finance/ Bank Experienced),Business,,,,Hồ Chí Minh,Tân Bình
Nhân Viên Giám Sát Camera,Business,,,,Hồ Chí Minh,Quận 7
Senior .Net Developers,IT,,,,Hà Nội,Đống Đa
Technical Leader (Vuejs/Nodejs/Java/Fullstack),IT,,,,Hà Nội,Thanh Xuân
Android Developers Biết Tiếng Trung,IT,,,,Hà Nội,Nam Từ Liêm
Senior Business Analyst (Phân Tích Nghiệp Vụ) [Hà Nội],Business,,35000000.0,VND,Hà Nội,Nam Từ Liêm
Lập Trình Viên PHP,IT,15000000.0,25000000.0,VND,Hà Nội,Cầu Giấy
Nhân Viên Kỹ Thuật Máy Tính - Máy In,Business,10000000.0,,VND,Long An,Bến Lức
Tester Onsite,IT,15000000.0,20000000.0,VND,Hà Nội,Thanh Xuân
Solution Architect - Hà Nội,IT,,,,Hà Nội,
Lập Trình Viên Backend PHP,Business,8000000.0,20000000.0,VND,Hà Nội,
Chuyên Viên Lập Trình - Mobile Dev,IT,,15000000.0,VND,Hà Nội,Long Biên
Data Engineer (Attractive Salary) - Top 1 Edtech Companies In Vietnam,IT,,35000000.0,VND,Hà Nội,
PHP Developer,IT,800.0,2000.0,USD,Hà Nội,Tây Hồ
IOS Developer,IT,,,,Hà Nội,Tây Hồ
React JS,Business,,,,Hà Nội,Cầu Giấy
Senior Business Analyst,Business,1000.0,2000.0,USD,Hà Nội,Cầu Giấy
Business Analyst,Business,,,,Hà Nội,Thanh Xuân
Chuyên Viên Vận Hành Cloud (Lương Upto 60Tr),Business,30000000.0,60000000.0,VND,Nước ngoài,
Chuyên Viên Vận Hành Cloud (Lương Upto 60Tr),Business,30000000.0,60000000.0,VND,Nam Từ Liêm,
Nhân Viên Triển Khai Chuyển Giao Phần Mềm,IT,,,,Hà Nội,Chương Mỹ
Nhân Viên Lập Trình (Lương Cứng Từ 10 - 12 Triệu + Thưởng Dự Án),IT,10000000.0,15000000.0,VND,Hồ Chí Minh,
Business Analyses For Product Team,Business,,30000000.0,VND,Hồ Chí Minh,Quận 2
Thực Tập Sinh Business Analyst,Business,3000000.0,,VND,Hồ Chí Minh,Quận 4
IT Comtor Tiếng Nhật ( Từ 1 Năm Kinh Nghiệm),IT,,25000000.0,VND,Hà Nội,Nam Từ Liêm
Thực Tập Sinh Lập Trình Viên JavaScript.,IT,,,,Hà Nội,Đống Đa
Thực Tập Sinh Lập Trình Viên PHP,IT,,,,Hà Nội,Đống Đa
Lập Trình Viên IOS 700$ - 1100$,IT,700.0,1100.0,USD,Hà Nội,Cầu Giấy
Kỹ Sư Cầu Nối - Brigde Software Engineer,IT,1000.0,3000.0,USD,Thừa Thiên Huế,TP Huế
Kỹ Sư Cầu Nối - Brigde Software Engineer,IT,1000.0,3000.0,USD,Hà Nội,Cầu Giấy
Lập Trình Viên Android 700$ - 1100$,IT,700.0,1100.0,USD,Hà Nội,Cầu Giấy
Process QA For Hardware,IT,20000000.0,30000000.0,VND,Hà Nội,Đống Đa
"Business Analyst (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc - Lương Up To 35M Gross",Business,,35000000.0,VND,Hà Nội,Từ Liêm
"Brse Engineer (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc_Lương Up To 35M Gross",IT,,35000000.0,VND,Hà Nội,Từ Liêm
Business Analyst Lead (Firmware/Software Documentation),Business,30000000.0,50000000.0,VND,Hà Nội,Đống Đa
Process QA For Software,IT,20000000.0,35000000.0,VND,Hà Nội,Đống Đa
Middle Content Writer,IT,,1000.0,USD,Hồ Chí Minh,Quận 2
Senior Flutter Mobile/ Lập Trình Viên Di Động Lĩnh Vực E-Learning (Up To 40M),IT,,40000000.0,VND,Hà Nội,Hai Bà Trưng
Android Developer (Java/ Kotlin),IT,,30000000.0,VND,Hồ Chí Minh,Quận 1
Chuyên Viên Tester,IT,,18000000.0,VND,Hà Nội,Cầu Giấy
Security Solution Architect - Salary Up To $3000,IT,,,,Hà Nội,Cầu Giấy
Android Developer,IT,,2000.0,USD,Hà Nội,Tây Hồ
Delivery Manager (N1/N2),Business,,,,Hồ Chí Minh,Bình Thạnh
Experience Business Analyst - Up To 40M,Business,20000000.0,40000000.0,VND,Hà Nội,Thanh Xuân
"Lập Trình Viên Web (Html5, Css3, JavaScript, PHP)",IT,15000000.0,25000000.0,VND,Hà Nội,Thanh Xuân
Lập Trình Viên IOS,IT,,1200.0,USD,Hà Nội,Cầu Giấy
Nhân Viên IT,IT,8000000.0,,VND,Hồ Chí Minh,Quận 3
Fullstack Mobile Developer (Flutter + IOS/Android),IT,16000000.0,,VND,Hồ Chí Minh,Quận 12
Fresher Fullstack Developer,IT,,,,Hồ Chí Minh,Gò Vấp
Chuyên Viên IT Phần Mềm,IT,12000000.0,,VND,Đà Nẵng,Sơn Trà
Kỹ Thuật Hệ Thống-System Engineer,IT,15000000.0,25000000.0,VND,Hồ Chí Minh,Quận 7
Backend Senior,Business,,,,Hà Nội,Cầu Giấy
Game Engineer (Unity),IT,,,,Hà Nội,Thanh Xuân
PHP Developer (1200$ - 1800$),IT,1200.0,1800.0,USD,Hà Nội,Cầu Giấy
Chuyên Viên Quản Trị Dữ Liệu Oracle (Dba) - HN,Business,,,,Hà Nội,Nam Từ Liêm
"Web Developer (JavaScript, Design)",IT,,,,Hồ Chí Minh,Phú Nhuận
Lập Trình Viên Python,IT,15000000.0,22000000.0,VND,Hà Nội,Thanh Xuân
Thực Tập Sinh Tiếng Hàn,Business,,3000000.0,VND,Hà Nội,Cầu Giấy
Nhân Viên Game Design,Business,,,,Hồ Chí Minh,Quận 10
Fresher Android,IT,7000000.0,10000000.0,VND,Hà Nội,Thanh Xuân
Frontend Web Developer (Reactjs/ Redux/ Gatsby JS) Tại Cần Thơ,IT,15000000.0,25000000.0,VND,Cần Thơ,Cái Răng
Database Administrator (Dba),Business,,30000000.0,VND,Hà Nội,Tây Hồ
Business Analyst (Japanese) - Salary Up To $2000,Business,,,,Đà Nẵng,Ngũ Hành Sơn
"Fullstack Developer (Nodejs,Reactjs)",IT,,,,Hà Nội,Đống Đa
Java Developer (N2) | T9161,IT,,,,Toàn quốc,
Android Technical Leader | T9154,IT,,,,Hà Nội,Cầu Giấy
Delivery Manager | T9153,Business,,,,Hà Nội,Cầu Giấy
.Net | T9152,Business,,,,Hồ Chí Minh,Quận 7
Front End Developer | T9151,IT,,,,Hà Nội,Cầu Giấy
Android Developer | T9150,IT,,,,Hà Nội,Cầu Giấy
Thực Tập Sinh Lễ Tân,Business,,3000000.0,VND,Hà Nội,Nam Từ Liêm
Java Technical Leader | T9149,IT,,,,Hà Nội,Cầu Giấy
Technical Project Manager | T9148,Business,,,,Hà Nội,Cầu Giấy
Java Developer | T9147,IT,,,,Toàn quốc,
Tester N3 | T9146,IT,,,,Toàn quốc,
System Administrator Thu Nhập 18.000.000 ??? 25.000.000 Vnđ/Tháng,IT,18000000.0,25000000.0,VND,Hà Nội,Thanh Xuân
Frontend Developer( Reactjs),IT,17000000.0,27000000.0,VND,Hà Nội,Thanh Xuân
Nhân Viên Giám Sát An Toàn Thông Tin,Business,,,,Hồ Chí Minh,Quận 7
Thực Tập Sinh Công Nghệ,Business,,4000000.0,VND,Hồ Chí Minh,Tân Bình
Backend Engineer (Golang),Business,,,,Hồ Chí Minh,Tân Bình
Japanese Business Analyst (Brse/IT Comtor),Business,,,,Hồ Chí Minh,Tân Bình
Front-End Developer - (Reactjs),IT,,,,Hồ Chí Minh,Tân Bình
Devops Engineer (Junior/Middle),IT,,,,Hồ Chí Minh,
Web Ar Developer - Lương $600 - $1200,IT,600.0,1200.0,USD,Hồ Chí Minh,Tân Bình
Nhân Viên Lập Trình Html (Html Coder),IT,8000000.0,12000000.0,VND,Đà Nẵng,Sơn Trà
"Mobile Developer (JavaScript, Cordova Framework)",IT,,20000000.0,VND,Hà Nội,
Nhân Viên IT/ Business Application (Quản Trị Hệ Thống),IT,,,,Hà Nội,
Nhân Viên Smartcontract,Business,,1500.0,USD,Hà Nội,Cầu Giấy
Backend Developer,Business,2500.0,3000.0,USD,Hà Nội,Cầu Giấy
"Chuyên Viên Triển Khai Và Vận Hành Hệ Thống Golf 3D, Lương 9-15 Triệu",IT,9000000.0,15000000.0,VND,Hồ Chí Minh,Thủ Đức
"Chuyên Viên Triển Khai Và Vận Hành Hệ Thống Golf 3D, Lương 9-15 Triệu",IT,9000000.0,15000000.0,VND,Đà Nẵng,Hải Châu
Thực Tập Frontend Mobile App (Fulltime),IT,,,,Hà Nội,Hoàng Mai
Employee Experience Executive,Business,,,,Hồ Chí Minh,Thủ Đức
Chuyên Viên Kiểm Soát Chất Lượng Giảng Dạy (Quận 1/HCM),Business,7000000.0,12000000.0,VND,Hồ Chí Minh,Quận 1
Delivery Manager N2 | T9144,Business,,,,Toàn quốc,
Senior Business Development,Business,20000000.0,45000000.0,VND,Hồ Chí Minh,Phú Nhuận
Brse N2 | T9143,Business,,,,Toàn quốc,
Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ (Senior IT Business Analyst) - Ta 130 - Hà Nội,Business,,,,Hà Nội,Đống Đa
"Java Developer, Offer 2000$,Trên 3 Năm Kinh Nghiệm",IT,,2000.0,USD,Hồ Chí Minh,Phú Nhuận
Account Manager N1 | T9140,Business,,,,Toàn quốc,
Shopify Developer,IT,700.0,1000.0,USD,Nghệ An,TP Vinh
Lập Trình Viên Wordpress,IT,10000000.0,15000000.0,VND,Nghệ An,TP Vinh
Software Engineer (Python),IT,,,,Hà Nội,
